Id,FkProfileId,Name,HoldingType,Amount,Percentage,IdField
452447,1565,Masyarakat,Kurang dari 5%,204.305.100,9.19,1125
452448,1565,Saham Treasury,Saham Treasury,8.675.700,0.39,1125
452449,1565,FX Eddy Hartanto,Direksi,125.200.000,5.63,1125
452450,1565,Steven Satya Yudha,Direksi,221.000,0.0099,1125
452451,1565,Ir. Ronaldus Gandahusada,Direksi,140.000.000,6.3,1125
452459,28,Solihin,Direksi,180.000,0,29
452453,28,PT SIGMANTARA ALFINDO,Lebih dari 5%,22.084.986.059,53.19,29
452454,28,MASYARAKAT  5%,Kurang dari 5%,19.439.515.641,46.81,29
452455,28,Saham Treasury,Saham Treasury,0,0,29
452456,28,Feny Djoko Susanto,Komisaris,265.850.300,0.64,29
452457,28,Budiyanto Djoko Susanto,Komisaris,138.969.300,0.33,29
452458,28,Harryanto Susanto,Direksi,190.560.200,0.46,29
452468,535,Francis Indarto,Direksi,165.588.000,1.7709,1038
452469,535,Kahar Anwar,Direksi,0,0,1038
452460,535,PT CENTRAL ENERGI PRATAMA,Lebih dari 5%,4.650.030.000,49.733,1038
452461,535,KEJAKSAAN AGUNG,Lebih dari 5%,567.409.200,6.069,1038
452462,535,PT ANUGERAH PERKASA SEMESTA,Lebih dari 5%,699.970.000,7.486,1038
452463,535,Masyarakat,Kurang dari 5%,3.432.590.800,36.712,1038
452464,535,Saham Treasury,Saham Treasury,0,0,1038
452465,535,Billy Ching,Komisaris,0,0,1038
452466,535,Wilson,Komisaris,0,0,1038
452467,535,Andre Handhika Tessaputra The,Komisaris,0,0,1038
452476,29,Saham Treasury,Saham Treasury,0,0,30
452477,29,Lucas Kurniawan,Direksi,3.020.000,0.09,30
452478,29,Naga Waskita,Direksi,3.019.563,0.09,30
452479,29,Aloysius D'Cruz,Direksi,1.600.000,0.04,30
452480,29,Nopri Pitoy,Direksi,1.150.000,0.03,30
452481,29,George Santosa Tahija,Komisaris,158.988.351,4.74,30
452482,29,Sjakon George Tahija,Komisaris,158.891.813,4.737,30
452483,29,Istini T. Siddharta,Komisaris,3.620.000,0.1,30
452484,29,Geetha Govindan,Direksi,3.120.000,0.09,30
452470,29,PT Memimpin Dengan Nurani,Lebih dari 5%,1.370.050.012,40.846,30
452471,29,PT Austindo Kencana Jaya,Lebih dari 5%,1.370.050.012,40.846,30
452472,29,Masyarakat,Kurang dari 5%,296.193.312,8.83,30
452473,29,George Santosa Tahija,Kurang dari 5%,158.988.351,4.74,30
452474,29,Sjakon George Tahija,Kurang dari 5%,158.891.813,4.737,30
452475,29,Yayasan Tahija,Kurang dari 5%,1.500,0.001,30
452497,30,ELISABETH RT SIAHAAN,Direksi,6.000,0,33
452485,30,PT MINERAL INDUSTRI INDONESIA (PERSERO),Lebih dari 5%,15.619.999.999,65,33
452486,30,NEGARA REPUBLIK INDONESIA,Kurang dari 5%,1,0,33
452498,30,BASAR SIMANJUNTAK ,Direksi,0,0,33
452487,30,MASYARAKAT,Kurang dari 5%,8.410.741.850,35,33
452488,30,Saham Treasury,Saham Treasury,22.875,0,33
452489,30,F.X. SUTIJASTOTO,Komisaris,0,0,33
452490,30,GUMILAR RUSLIWA SOMANTRI,Komisaris,0,0,33
452491,30,ANANG SRI KUSUWARDONO,Komisaris,0,0,33
452492,30,BAMBANG SUNARWIBOWO,Komisaris,0,0,33
452493,30,DILO SENO WIDAGDO ,Komisaris,0,0,33
452494,30,NICOLAS D. KANTER,Direksi,0,0,33
452495,30,I DEWA BAGUS SUGATA WIRANTAYA,Direksi,0,0,33
452496,30,DOLOK ROBERT SILABAN,Direksi,0,0,33
452506,31,Eka Dharmajanto Kasih,Komisaris,28.551.560,1.0089,34
452499,31,PT Aserra Capital,Lebih dari 5%,1.805.985.577,63.8,34
452500,31,STANDARD CHARTERED BANK SINGAPORE S/A AUGUSTA INVESTMENTS I PTE.LTD. ID134190500001,Lebih dari 5%,220.767.550,7.8,34
452501,31,Masyarakat,Kurang dari 5%,774.255.090,27.4,34
452502,31,Eka Dharmajanto Kasih,Kurang dari 5%,28.551.560,1,34
452503,31,Erwin Sutanto,Kurang dari 5%,24.876,0,34
452504,31,Saham Treasury,Saham Treasury,420.344,0,34
452505,31,Erwin Sutanto,Direksi,24.876,0.0009,34
452510,32,Saham Treasury,Saham Treasury,0,0,35
452507,32,PT Pan Pacific Investama,Lebih dari 5%,3.272.225.055,27.81,35
452508,32,PT Pacific Indocorpora,Lebih dari 5%,1.107.792.332,9.42,35
452509,32,Masyarakat,Kurang dari 5%,7.386.296.101,62.77,35
452518,33,Low Yew Lean,Direksi,60.146.480,5.5983,36
452511,33,Low Yew Lean,Lebih dari 5%,60.146.480,5.59,36
452512,33,"ARITA GLOBALL,PT",Lebih dari 5%,622.214.760,57.84,36
452513,33,"ARITA ENGINEERING , SDN.BHD",Lebih dari 5%,151.125.260,14.05,36
452514,33,Masyarakat ,Kurang dari 5%,242.273.500,22.52,36
452515,33,Saham Treasury,Saham Treasury,0,0,36
452516,33,"ARITA GLOBALL,PT",Direksi,622.214.760,57.84,36
452517,33,"ARITA ENGINEERING , SDN.BHD",Direksi,151.125.260,14.05,36
452523,34,ALEXANDER AGUNG PRANOTO,Komisaris,388.333.748,28.5,37
452519,34,PT MACO AMANGRAHA,Lebih dari 5%,801.304.000,58.8,37
452520,34,ALEXANDER AGUNG PRANOTO,Lebih dari 5%,388.333.748,28.5,37
452521,34,Masyarakat,Kurang dari 5%,173.033.652,12.7,37
452522,34,Saham Treasury,Saham Treasury,0,0,37
452533,35,Miarni Ang,Direksi,2.739.500,0.012,38
452534,35,Paul Christian Ariyanto,Direksi,0,0,38
452535,35,Anak Agung Mas Wirajaya,Direksi,0,0,38
452536,35,Letjen. TNI (Purn) Sofian Effendi S.E.,Komisaris,0,0,38
452537,35,Indaryono,Komisaris,0,0,38
452524,35,PT Indofica,Lebih dari 5%,18.777.785.148,82.724,38
452525,35,Trihatma K. Haliman,Kurang dari 5%,1.134.702.185,4.999,38
452526,35,PT Sarana Multiland Mandiri,Kurang dari 5%,192.487.500,0.848,38
452527,35,Direksi dan Komisaris,Kurang dari 5%,5.004.000,0.022,38
452528,35,Masyarakat,Kurang dari 5%,2.589.347.946,11.407,38
452529,35,Saham Treasury,Saham Treasury,0,0,38
452530,35,Bacelius Ruru,Direksi,0,0,38
452531,35,Noer Indradjaja,Direksi,621.000,0.003,38
452532,35,Cesar M. Dela Cruz,Direksi,1.643.500,0.007,38
452548,1788,Saham Treasury,Saham Treasury,0,0,1192
452549,1788,Kenneth Ronald Kennedy Crichton,Komisaris,0,0,1192
452550,1788,Rizki Indrakusuma,Komisaris,0,0,1192
452551,1788,Abed Nego,Komisaris,0,0,1192
452552,1788,Dr. Ir. Bambang Setiawan,Komisaris,0,0,1192
452553,1788,Hamid Awaluddin,Komisaris,0,0,1192
452554,1788,Jhoni Ginting,Komisaris,0,0,1192
452555,1788,Rudy Suhendra,Direksi,0,0,1192
452556,1788,Christian Emanuel David Sompie,Direksi,0,0,1192
452557,1788,Hidayat Dwiputro Sulaksono,Direksi,771.900,0.003,1192
452558,1788,Scott Gerald Atkinson,Direksi,0,0,1192
