Id,FkProfileId,Name,Role,Independent,IdField
108048,2069,Iriawan Ibarat,KOMISARIS,Ya,1228
108049,2069,Selvy Monalisa,KOMISARIS,Ya,1228
108050,48,MUHAMAD IDRUS,KOMISARIS,Ya,52
108051,48,MAGIT LES DENNY TEWU,KOMISARIS UTAMA,Tidak,52
108052,48,HENDRA SUDJAKA,KOMISARIS,Ya,52
108054,1574,Loeky Sandrie,KOMISARIS,Ya,1134
108053,1574,Teddi Budiman,KOMISARIS UTAMA,Tidak,1134
108057,49,Leo Yulianto Sutedja,KOMISARIS,Tidak,53
108058,49,Pingki Elka Pangestu,KOMISARIS,Ya,53
108059,49,Prasasto Sudyatmiko,KOMISARIS,Ya,53
108055,49,Haryanto Tirtohadiguno ,KOMISARIS UTAMA,Tidak,53
108056,49,Angeline Sutedja,KOMISARIS,Tidak,53
108060,50,DR. A. WINOTO DOERIAT,KOMISARIS UTAMA,Tidak,54
108061,50,MOHAMAD RUSLI,KOMISARIS,Ya,54
108062,50,DR. ANTONIUS WIDYATMA SUMARLIN,KOMISARIS,Ya,54
108063,50,ANANTO HARJOKUSUMO,KOMISARIS,Tidak,54
108065,51,Hertanto Mangkusasono,KOMISARIS,Tidak,55
108066,51,"Prof. Dr. Lindawati Gani, Ak., CA, FCMA, CGMA, FCPA",KOMISARIS,Ya,55
108067,51,Shanti Lasminingsih P,KOMISARIS,Ya,55
108064,51,Erida,PRESIDEN KOMISARIS,Tidak,55
108068,1575,Yoyo Sugeng Triyogo,KOMISARIS UTAMA,Tidak,1168
108069,1575,Dece Kurniadi,KOMISARIS,Ya,1168
108070,52,Ignasius Jonan,PRESIDEN KOMISARIS,Ya,56
108071,52,Antonius Agus Susanto,KOMISARIS,Tidak,56
108072,52,Kei Andoh,KOMISARIS,Tidak,56
108080,54,Sudirman Maman Rusdi,KOMISARIS,Tidak,58
108081,54,Gunawan Geniusahardja,KOMISARIS,Tidak,58
108082,54,Bambang Widjanarko E. S.,KOMISARIS,Ya,58
108075,54,Gidion Hasan,PRESIDEN KOMISARIS,Tidak,58
108076,54,Johannes Loman,WAKIL PRESIDEN KOMISARIS,Tidak,58
108077,54,Agus Tjahajana Wirakusumah,KOMISARIS,Ya,58
108078,54,Bambang Trisulo,KOMISARIS,Ya,58
108079,54,Chiew Sin Cheok ,KOMISARIS,Tidak,58
108083,1796,Hermanto Tanoko,KOMISARIS UTAMA,Tidak,1220
108084,1796,M. Noor Rachman Soejoeti,KOMISARIS,Ya,1220
108085,737,Soundararajan Venkatachari,KOMISARIS UTAMA,Tidak,1317
108086,737,Kemal Alamsyah,KOMISARIS,Ya,1317
108087,4584,Sugiyanto Sutikno,KOMISARIS UTAMA,Tidak,1252
108088,4584,Alpino Kianjaya,KOMISARIS,Ya,1252
108089,1576,Roy Octavian,KOMISARIS UTAMA,Tidak,1131
108090,1576,Denny Jong Wijaya,KOMISARIS,Ya,1131
108091,55,Ponky Nayarana Pudijanto,PRESIDEN KOMISARIS,Ya,59
108092,55,Peter Fajar,KOMISARIS,Tidak,59
108093,55,Frederikus P. Weoseke,KOMISARIS,Ya,59
108094,55,Mahdan,KOMISARIS,Tidak,59
108096,56,Peter Kurniawan,KOMISARIS,Ya,60
108095,56,Danny Nugroho,KOMISARIS UTAMA,Tidak,60
108100,57,Soediarto Soerjoprahono,KOMISARIS UTAMA,Tidak,62
108103,57,Yentoro,KOMISARIS,Ya,62
108102,57,Bastianus Fritz Josef Lumanauw,KOMISARIS,Ya,62
108101,57,Ibnu Susanto,KOMISARIS,Tidak,62
108108,58,Andi Sumarsono,KOMISARIS,Tidak,63
108104,58,Johnny Swandi Sjam,KOMISARIS UTAMA,Tidak,63
108105,58,"Erry Firmansyah, SE",KOMISARIS,Ya,63
108106,58,"Dr. Sumarsono, MDM",KOMISARIS,Ya,63
108107,58,Anni Suwardi,KOMISARIS,Tidak,63
108109,1585,RUDY HAMDANI,PRESIDEN KOMISARIS,Ya,1175
108110,1585,ATIONO TEGUH BASUKI ,KOMISARIS,Tidak,1175
108111,1585,FRANSISCA EKAWATI,KOMISARIS,Ya,1175
108112,1585,"DR. H. M. ASRORUN NI'AM SHOLEH, MA",KETUA DEWAN PENGAWAS,Tidak,1175
108113,1585,SHOLAHUDIN AL  AIYUB,PENGAWAS,Tidak,1175
108114,59,Suryo Nugroho,KOMISARIS UTAMA,Tidak,64
108115,59,Yakobus Triguno,KOMISARIS,Ya,64
108116,1586,Chaerul Iqbal Nugraha,KOMISARIS UTAMA,Tidak,1099
108117,1586,Wiyas Yulias Hasbu,KOMISARIS,Ya,1099
108120,60,Agus Nurudin,KOMISARIS,Ya,65
108118,60,Rajeev Gopalakrishnan,PRESIDEN KOMISARIS,Tidak,65
108119,60,Shaibal Sinha,KOMISARIS,Tidak,65
108126,2099,"Sihol Siagian, S.H.",KOMISARIS,Ya,1230
108124,2099,Indriani Suhartono,KOMISARIS UTAMA,Tidak,1230
108125,2099,Surya Susilo,KOMISARIS,Tidak,1230
108128,61,Bostomi Suharman,KOMISARIS,Tidak,67
108129,61,Pranowo Gumulia,KOMISARIS,Ya,67
108127,61,Thio Gwan Po Micky,KOMISARIS UTAMA,Tidak,67
108133,62,Raden Pardede,KOMISARIS,Ya,68
108134,62,Sumantri Slamet,KOMISARIS,Ya,68
108130,62,Djohan Emir Setijoso,PRESIDEN KOMISARIS,Tidak,68
108131,62,Tonny Kusnadi,KOMISARIS,Tidak,68
108132,62,Cyrillus Harinowo ,KOMISARIS,Ya,68
108135,63,Ali Gunawan,KOMISARIS,Tidak,819
108136,63,"Dra. Aviliani, MSc.",KOMISARIS UTAMA,Ya,819
108137,63,Rosmaya,KOMISARIS,Ya,819
108151,64,Eugene K. Galbraith,KOMISARIS,Ya,70
108144,64,Jerry Marmen,KOMISARIS UTAMA,Tidak,70
108145,64,Nam Hoon Cho,WAKIL KOMISARIS UTAMA,Tidak,70
108146,64,Nanang Supriyatno,KOMISARIS,Tidak,70
108147,64,Tippy Joesoef ,KOMISARIS,Ya,70
108148,64,Hae Wang Lee,KOMISARIS,Ya,70
108149,64,Stephen Liestyo,KOMISARIS,Ya,70
108150,64,Sukriansyah S. Latief,KOMISARIS,Ya,70
108152,65,Siang Hadi Widjaja,KOMISARIS UTAMA,Tidak,71
108153,65,Tjan Soen Eng ,KOMISARIS,Tidak,71
108154,65,Dani Firmansjah,KOMISARIS,Ya,71
108155,65,Pintaro Mulia,KOMISARIS,Ya,71
108157,66,Indra Halim,KOMISARIS,Tidak,72
108158,66,Katio,KOMISARIS,Ya,72
108159,66,Gardjito Heru,KOMISARIS,Ya,72
108156,66,Witarsa Oemar,PRESIDEN KOMISARIS,Tidak,72
108170,67,Robertus Billitea,KOMISARIS,Tidak,73
108160,67,Agus Dermawan Wintarto Martowardojo,KOMISARIS UTAMA,Ya,73
108161,67,Pradjoto,WAKIL KOMISARIS UTAMA,Ya,73
108162,67,Susyanto,KOMISARIS,Tidak,73
108163,67,Sigit Widyawan,KOMISARIS,Ya,73
108164,67,Asmawi Syam,KOMISARIS,Ya,73
108165,67,Septian Hario Seto,KOMISARIS,Ya,73
108166,67,Iman Sugema,KOMISARIS,Ya,73
108167,67,Askolani,KOMISARIS,Tidak,73
108168,67,Erwin Rijanto Slamet,KOMISARIS,Ya,73
108169,67,Fadlansyah Lubis,KOMISARIS,Tidak,73
108183,69,Nurmaria Sarosa ,KOMISARIS,Ya,75
108184,69,Awan Nurmawan Nuh,KOMISARIS,Tidak,75
108175,69,Kartika Wirjoatmodjo,KOMISARIS UTAMA,Tidak,75
108176,69,Rofikoh Rokhim,WAKIL KOMISARIS UTAMA,Ya,75
108177,69,Hendrikus Ivo,KOMISARIS,Ya,75
108178,69,Rabin Indrajad Hattari,KOMISARIS,Tidak,75
108179,69,Dwi Ria Latifa,KOMISARIS,Ya,75
108180,69,Heri Sunaryadi,KOMISARIS,Ya,75
108181,69,Paripurna Poerwoko Sugarda ,KOMISARIS,Ya,75
108182,69,Agus Riswanto,KOMISARIS,Ya,75
108187,70,Kukuh Komandoko,KOMISARIS,Ya,76
108185,70,Latip,KOMISARIS UTAMA,Tidak,76
108186,70,Leong Seng Keat,KOMISARIS,Tidak,76
108188,1589,Masa Paskalis Lingga,PRESIDEN KOMISARIS,Tidak,1158
108189,1589,Markus Sugiono,KOMISARIS,Ya,1158
108190,1589,Zainal Abidin,KOMISARIS,Ya,1158
108191,1590,Budi Kasan Besari Adinagoro,KOMISARIS UTAMA,Tidak,1145
108192,1590,Alexander,KOMISARIS,Ya,1145
108201,71,Mohamad Yusuf Permana,KOMISARIS,Tidak,77
108193,71,Chandra M. Hamzah,KOMISARIS UTAMA,Ya,77
108194,71,Andin Hadiyanto,KOMISARIS,Tidak,77
108195,71,Armand B. Arief,KOMISARIS,Ya,77
108196,71,Ahdi Jumhari Luddin,KOMISARIS,Ya,77
108197,71,Iqbal Latanro,WAKIL KOMISARIS UTAMA,Ya,77
108198,71,Herry Trisaputra Zuna,KOMISARIS,Tidak,77
108199,71,Himawan Arief Sugoto,KOMISARIS,Tidak,77
108200,71,Sentot A. Sentausa,KOMISARIS,Ya,77
108202,72,Inkawan D. Jusi*,KOMISARIS UTAMA,Ya,78
108203,72,Tjandra Mindharta Gozali,KOMISARIS,Tidak,78
108204,72,Pamitra Wineka,KOMISARIS,Ya,78
108205,72,Pramoda Dei Sudarmo,KOMISARIS,Ya,78
108206,73,Wito Mailoa,KOMISARIS UTAMA,Tidak,79
108207,73,Ageng Purwanto,KOMISARIS,Tidak,79
108208,73,Sukisto,KOMISARIS,Ya,79
108211,74,Iwan Nataliputra ,KOMISARIS,Ya,80
108209,74,Nobiru Adachi,KOMISARIS UTAMA,Tidak,80
108210,74,Nobuiku Chiba,KOMISARIS,Tidak,80
108212,74,Benny Siswanto,KOMISARIS,Ya,80
108214,75,Albertus Banunaek,KOMISARIS,Ya,81
108213,75,Tahir Ferdian,KOMISARIS UTAMA,Tidak,81
108215,728,Jauw Lie Ming,KOMISARIS UTAMA,Tidak,1308
108216,728,"Ir. Hadrianus Bambang Nurhadi Widihartono, M.Sc.",KOMISARIS,Ya,1308
108222,76,Yasushi Itagaki,KOMISARIS UTAMA,Tidak,82
108217,76,Peter Benyamin Stok,KOMISARIS,Ya,82
108218,76,Nobuya Kawasaki,KOMISARIS,Tidak,82
108219,76,Hedy Maria Helena Lapian,KOMISARIS,Ya,82
108220,76,Dan Harsono,KOMISARIS,Tidak,82
108221,76,Dr. Halim Alamsyah,WAKIL PRESIDEN KOMISARIS,Ya,82
108225,643,Shaleh Muhammad Al Jufri,KOMISARIS,Ya,1180
108223,643,Asep Sulaeman Sabanda,KOMISARIS UTAMA,Tidak,1180
108224,643,Dr. Ir. H. Soewarso,KOMISARIS,Tidak,1180
108226,629,Irdam Ramli,KOMISARIS UTAMA,Tidak,1067
108227,629,Benedictius Setio Pramono,KOMISARIS,Tidak,1067
108228,629,Juan Permata Adoe,KOMISARIS,Tidak,1067
108229,629,Juanita Gracianti Adoe,KOMISARIS,Tidak,1067
108230,629,"H Janmat Sembiring, SE",KOMISARIS,Ya,1067
108233,706,Rudy Hidayat,KOMISARIS,Ya,1286
