Id,FkProfileId,Name,Role,Affiliated,IdField
183323,19,Termurti Tiban,DIREKTUR,Ya,20
183317,19,Haryanto Adikoesoemo,PRESIDEN DIREKTUR,Ya,20
183318,19,Jimmy Tandyo,DIREKTUR,Ya,20
183319,19,Bambang Soetiono Soedijanto,DIREKTUR,Ya,20
183320,19,Mery Sofi,DIREKTUR,Ya,20
183321,19,Suresh Vembu,DIREKTUR,Ya,20
183322,19,Nery Polim,DIREKTUR,Ya,20
183325,20,William,DIREKTUR,Tidak,21
183324,20,Doddy Hermawan,DIREKTUR UTAMA,Ya,21
183328,21,Kuswara,DIREKTUR,Tidak,22
183326,21,Herwanto Sutanto,DIREKTUR UTAMA,Ya,22
183327,21,Willy Soesanto,DIREKTUR,Ya,22
183333,22,Maradona Parhorasan Manurung,DIREKTUR,Ya,24
183331,22,Sucipto Tanro,PRESIDEN DIREKTUR,Ya,24
183332,22,Fendra Hartanto,WAKIL PRESIDEN DIREKTUR,Ya,24
183334,23,Alim Markus,DIREKTUR UTAMA,Ya,25
183335,23,Alim Mulia Sastra,DIREKTUR,Ya,25
183336,23,Alim Prakasa,DIREKTUR,Ya,25
183337,23,Wibowo Suryadinata,DIREKTUR,Tidak,25
183339,24,Abubakarsyah Boetje,DIREKTUR,Tidak,26
183338,24,Huda Nardono,DIREKTUR UTAMA,Ya,26
183345,25,Pankaj Oberoi,PRESIDEN DIREKTUR,Tidak,27
183340,25,Karel Fitrijanto,WAKIL PRESIDEN DIREKTUR,Tidak,27
183341,25,Thomas Paitimusa,WAKIL PRESIDEN DIREKTUR,Tidak,27
183342,25,Arun Arjandas Nanwani,WAKIL PRESIDEN DIREKTUR,Tidak,27
183343,25,Dinesh Ramu,DIREKTUR,Tidak,27
183344,25,Peggy Wystan,DIREKTUR,Tidak,27
183347,1563,Richard B. T. Malessy,DIREKTUR,Ya,1137
183346,1563,Adi Saputra Tedja Surya,DIREKTUR UTAMA,Ya,1137
183350,1564,R. Eka Banyuaji,DIREKTUR,Ya,1121
183348,1564,Vishal Tulsian,DIREKTUR UTAMA,Ya,1121
183349,1564,B. Budijanto Jahja,DIREKTUR,Ya,1121
183360,26,TEGUH ARI WIDODO,DIREKTUR,Tidak,28
183361,26,KAZUO NINOMIYA,DIREKTUR,Ya,28
183351,26,MAMPEI CHIYODA,PRESIDEN DIREKTUR,Ya,28
183352,26,MOHAMAD AMIEN,WAKIL PRESIDEN DIREKTUR,Tidak,28
183353,26,YO NAKAHARA,DIREKTUR,Ya,28
183354,26,TAKASHI NEKODA,DIREKTUR,Ya,28
183355,26,BAMBANG WIDYAWARDHANA MAULANA,DIREKTUR,Tidak,28
183356,26,KAZUHIRO ONOGAWA ,DIREKTUR,Ya,28
183357,26,CHRISTOFORUS,DIREKTUR,Tidak,28
183358,26,SAMUEL NUGROHO SETYONO,DIREKTUR,Tidak,28
183359,26,KIICHIRO YOSHIZAWA ,DIREKTUR,Ya,28
183364,27,Linda Taty,DIREKTUR,Tidak,817
183362,27,Rudy Susanto,PRESIDEN DIREKTUR,Ya,817
183363,27,Lai Kien Hsin,DIREKTUR,Ya,817
183369,750,Lal Naveen Chandra,DIREKTUR,Ya,1330
183365,750,Alexander Ramlie,DIREKTUR UTAMA,Ya,1330
183366,750,Arief Widyawan Sidarto,DIREKTUR,Ya,1330
183367,750,David Alexander Gibbs,DIREKTUR,Ya,1330
183368,750,Irwin Ka Pui Wan,DIREKTUR,Ya,1330
183371,677,Ir. Mochamad Filhasny Yunus,DIREKTUR,Tidak,1257
183370,677,Hartono Limmantoro,DIREKTUR UTAMA,Ya,1257
183375,1565,Steven Satya Yudha,DIREKTUR,Ya,1125
183372,1565,Ir. Ronaldus Gandahusada,PRESIDEN DIREKTUR,Ya,1125
183373,1565,FX Eddy Hartanto,DIREKTUR,Ya,1125
183374,1565,Arief Cahyadi Wana,DIREKTUR,Ya,1125
183381,28,Soeng Peter Suryadi,DIREKTUR,Ya,29
183376,28,Anggara Hans Prawira,PRESIDEN DIREKTUR,Ya,29
183377,28,Bambang Setyawan Djojo,DIREKTUR,Ya,29
183378,28,Tomin Widian,DIREKTUR,Ya,29
183379,28,Harryanto Susanto,DIREKTUR,Ya,29
183380,28,Solihin,DIREKTUR,Ya,29
183382,535,Francis Indarto,DIREKTUR UTAMA,Ya,1038
183383,535,Kahar Anwar,DIREKTUR,Ya,1038
183384,29,Lucas Kurniawan,DIREKTUR UTAMA,Ya,30
183385,29,Geetha Govindan K. Gopalakrishnan,WAKIL DIREKTUR UTAMA,Ya,30
183386,29,Naga Waskita,DIREKTUR,Ya,30
183387,29,Aloysius D'Cruz,DIREKTUR,Ya,30
183388,29,Nopri Pitoy,DIREKTUR,Ya,30
183389,29,Mohammad Fitriyansyah,DIREKTUR,Ya,30
183396,30,Elisabeth RT Siahaan,DIREKTUR,Ya,33
183397,30,Achmad Ardianto,DIREKTUR,Ya,33
183393,30,Nicolas D. Kanter,DIREKTUR UTAMA,Ya,33
183394,30,Hartono,DIREKTUR,Ya,33
183395,30,I Dewa Bagus Wirantaya,DIREKTUR,Ya,33
183401,31,Mahar Atanta Sembiring,DIREKTUR,Tidak,34
183398,31,Zainal Abidinsyah Siregar,DIREKTUR UTAMA,Tidak,34
183399,31,Erwin Sutanto,WAKIL DIREKTUR UTAMA,Tidak,34
183400,31,Donald Kent Wood,DIREKTUR,Tidak,34
183403,32,Wiyana,DIREKTUR,Ya,35
183402,32,Jon Adijaya,DIREKTUR UTAMA,Ya,35
183406,33,Chan Chein Liang,DIREKTUR,Ya,36
183404,33,Harianto,DIREKTUR,Ya,36
183405,33,Low Yew Lean,DIREKTUR UTAMA,Ya,36
183410,34,Giman,DIREKTUR,Ya,37
183407,34,Wilson Agung Pranoto,DIREKTUR UTAMA,Ya,37
183408,34,Albert Sugianto,DIREKTUR,Ya,37
183409,34,Ir. Ali Pranata,DIREKTUR,Ya,37
183411,35,Bacelius Ruru,DIREKTUR UTAMA,Ya,38
183413,35,Cesar Manikan Dela Cruz,DIREKTUR,Ya,38
183414,35,Miarni Ang,DIREKTUR,Ya,38
