FiscalYearEnds,DateOfStatement,Currency,Range,Cashnequivalent,CurrAsset,FixedAsset,TotalAsset,CurrliAbilities,LongtermDebt,MinInterest,TotalLiab,Paidupcap,TotEquity,TotSales,GrossProfit,OperateProfit,NetIncome,CashPptAct,CashInvAct,CashFinAct,Eps,BookValue,Der,Roa,Roe,Npm,Opm,SalesPct,NetIncomePct,TotAssetPct,TotalLiabilitiesPct,Id,DateCreated,DateModified,IsUpdateDate,IdField 
December,2016-06-30,IDR,1.0,63509569740.0,204898872797.0,177908621968.0,382807494765.0,58865969544.0,8868213307.0,0.0,67734182851.0,1000000000.0,308299499581.0,315229890328.0,105283407862.0,40187166164.0,28460612899.0,0.0,-19122008833.0,-19122008833.0,7.2106,311.12,0.22,0.0743,0.0923,0.09,0.13,-13.26,-338.1,-1.03,-7.69,134,2016-03-24T16:05:21.524468,2016-10-01T00:03:41.29964,True,140
December,2016-03-31,IDR,1.0,29151754793.0,669744755872.0,1903458180152.0,2573202936024.0,915691003305.0,305879321437.0,0.0,1221570324743.0,3370734900.0,1351632611281.0,0.0,0.0,-446419826216.0,-293015566530.0,0.0,-195470964399.0,-195470964399.0,-28.4549,359.16,0.9,-0.1518,-0.289,0.0,0.0,100.0,-580.18,7.98,32.81,135,2016-03-24T16:05:21.602593,2016-10-01T00:03:41.377765,True,141
December,2016-06-30,USD,14657.0,792516.0,28708287.0,10428036.0,39136323.0,11209767.0,1170691.0,0.0,12380458.0,306338500.0,26755865.0,37602629.0,6824885.0,3465143.0,2416409.0,0.0,-484677.0,-484677.0,278.3568,1.0,0.46,0.0823,0.1204,0.06,0.09,4.48,47.35,11.77,9.09,137,2016-03-24T16:05:21.758843,2016-10-01T00:03:41.48714,True,143
December,2016-06-30,IDR,1.0,1592902666016.0,1732370639376.0,4029512112020.0,5761882751396.0,387419559527.0,1306669000358.0,0.0,1694088559885.0,2750000000.0,4067794191511.0,1086168666220.0,532610667841.0,368079717636.0,335013247171.0,0.0,-663649075750.0,-663649075750.0,197.1476,1.0,0.42,0.0775,0.1098,0.31,0.34,40.07,-5.57,20.7,37.98,138,2016-03-24T16:05:21.852593,2016-10-01T00:03:41.565265,True,144
December,2016-06-30,IDR,1.0,2500282521.0,59497825280.0,111363727986.0,170861553267.0,73532346445.0,60957944413.0,0.0,134490290857.0,216000000.0,36371262410.0,70163872558.0,16926713362.0,5854658035.0,1013861455.0,0.0,0.0,0.0,1.5786,132.3,3.7,0.0079,0.0372,0.01,0.08,63.91,-2154.09,17.36,26.21,139,2016-03-24T16:05:21.930718,2016-10-01T00:03:41.627765,True,145
December,2016-06-30,IDR,1.0,74477193000.0,3031889953000.0,2831673478000.0,5863563431000.0,2192442331000.0,693312097000.0,0.0,2885754428000.0,8956361206.0,2977809003000.0,678384577000.0,15395955000.0,-84928399000.0,-150422828000.0,0.0,468703000.0,468703000.0,-16.5294,277.11,0.97,-0.0342,-0.0674,-0.22,-0.13,71.33,-31.0,0.8,17.93,140,2016-03-24T16:05:22.008843,2016-10-01T00:03:41.690265,True,146
December,2015-06-30,USD,13332.0,720268.0,16103035.0,16738825.0,32841861.0,29039460.0,2124939.0,0.0,31164399.0,10000000.0,1677462.0,9372742.0,1498495.0,426718.0,381680.0,0.0,-963321.0,-963321.0,1.0,2.0,18.58,0.0232,0.4551,0.04,0.05,100.0,100.0,100.0,100.0,141,2016-03-24T16:05:22.086968,2016-10-01T00:03:41.752765,True,147
December,2016-06-30,USD,13795.0,629428.0,15308089.0,17466805.0,32754894.0,28950190.0,2117240.0,0.0,31067430.0,1000000000.0,1687464.0,24726385.0,3329067.0,531219.0,391682.0,0.0,-435781.0,-435781.0,-1.0,2.0,18.41,0.012,0.2321,0.02,0.02,-32.74,177.51,-0.48,-1.83,142,2016-03-24T16:05:22.180718,2016-10-01T00:03:41.815265,True,148
December,2016-06-30,IDR,1.0,123944493659.0,420087591302.0,3349090661319.0,3769178252620.0,441948958176.0,2238936778880.0,0.0,2680885737056.0,4871214021.0,1088292515564.0,404634009938.0,246385752987.0,-231777345344.0,-259710142686.0,0.0,-45738117026.0,-45738117026.0,21.1284,251.61,2.46,-0.0919,-0.3182,-0.64,-0.57,-7.55,332.79,-0.69,-0.93,143,2016-03-24T16:05:22.274468,2016-10-01T00:03:41.89339,True,149
December,2016-06-30,IDR,1.0,1442520000000.0,10751649000000.0,12394585000000.0,23146234000000.0,4087061000000.0,7100032000000.0,0.0,11187093000000.0,16398000000.0,11959141000000.0,22516012000000.0,3821531000000.0,1920069000000.0,1250269000000.0,0.0,-322915000000.0,-322915000000.0,211.2373,843.46,0.94,0.072,0.1394,0.06,0.09,20.05,44.61,6.98,-3.23,145,2016-03-24T16:05:22.453179,2016-10-01T00:03:42.002765,True,152
December,2016-06-30,IDR,1.0,154277000000.0,3630631000000.0,4974137000000.0,8604768000000.0,3451264000000.0,3910239000000.0,0.0,7361503000000.0,40470734746.0,1243265000000.0,6725526000000.0,1113855000000.0,78418000000.0,-801988000000.0,0.0,-28713000000.0,-28713000000.0,2.95,50.45,5.92,-0.1243,-0.8601,-0.12,0.01,4.01,615.58,5.91,3.38,146,2016-03-24T16:05:22.546929,2016-10-01T00:03:42.034015,True,153
December,2016-06-30,IDR,1.0,63048142000.0,2554325036000.0,968247815000.0,3522572851000.0,2345213308000.0,323840559000.0,0.0,2669053867000.0,2895037800.0,853518984000.0,7284517501000.0,979155839000.0,155059722000.0,40618322000.0,0.0,-82680157000.0,-82680157000.0,17.3778,340.71,3.13,0.0115,0.0476,0.01,0.02,9.51,33.98,10.32,-6.3,147,2016-03-24T16:05:22.640679,2016-10-01T00:03:42.08089,True,154
December,2016-06-30,USD,14657.0,33663600.0,139385563.0,91151902.0,230537465.0,86308692.0,14137171.0,0.0,100445863.0,800371500.0,130091602.0,3027319.0,18520227.0,3027319.0,3392467.0,0.0,-668135.0,-668135.0,268.7297,2.0,0.77,0.0196,0.0348,1.12,1.0,29.96,50.11,-15.26,-77.41,148,2016-03-24T16:05:22.718804,2016-10-01T00:03:42.14339,True,155
December,2016-03-31,IDR,1.0,3197259541373.0,11932074016771.0,13221351492887.0,25153425509658.0,7648751725947.0,5220750935840.0,0.0,12869502661787.0,15165815994.0,12283922847871.0,5374127811389.0,2448098374512.0,1495088738629.0,935110873857.0,0.0,-212912830102.0,-212912830102.0,37.5295,862.79,1.05,0.0496,0.1015,0.17,0.28,-9.16,-58.4,7.83,4.76,149,2016-03-24T16:05:22.828179,2016-10-01T00:03:42.20589,True,156
December,2016-06-30,IDR,1.0,17795874494.0,351874579223.0,89946867752.0,441821446975.0,312597365456.0,72237421402.0,0.0,384834786858.0,1230839821.0,56986660117.0,137944050562.0,49802014478.0,7227928516.0,-23263522607.0,0.0,-1788633662.0,-1788633662.0,22.6612,246.12,6.75,-0.0702,-0.5443,-0.17,0.05,41.31,104.16,34.75,-1.43,152,2016-03-24T16:05:23.093804,2016-10-01T00:03:42.42464,True,159
December,2016-06-30,IDR,1.0,67509670000.0,935424319000.0,4586160201000.0,5521584520000.0,552308144000.0,1539854083000.0,0.0,2092162227000.0,3141390962.0,3429422293000.0,718132668000.0,292353172000.0,245366096000.0,180029637000.0,0.0,-91045082000.0,-91045082000.0,22.5587,1.0,0.61,0.0435,0.07,0.25,0.34,-139.73,-298.48,10.21,21.53,154,2016-03-24T16:05:23.265679,2016-10-01T00:03:42.58089,True,161
December,2015-12-31,IDR,1.0,12423318000.0,79472896000.0,82007663000.0,126998196000.0,79254239000.0,2595924000.0,0.0,81850163000.0,1600398000.0,45148033000.0,192415349000.0,81439895000.0,-35254228000.0,-35031464000.0,0.0,-8787855000.0,-8787855000.0,-21.8892,28.21,1.81,-0.2758,-0.7759,-0.18,-0.18,15.09,35.45,-25.19,-55.98,529,2016-07-01T00:01:20.73957,2016-10-01T00:03:42.64339,True,943
December,2016-06-30,IDR,1.0,392437530.0,51870329228.0,159485579.0,52029814807.0,877843371.0,0.0,0.0,877843371.0,676000000.0,51151971436.0,3931105865.0,1166468228.0,1166468228.0,622325559.0,0.0,-11125000.0,-11125000.0,12.789,82.06,0.02,0.012,0.0122,0.16,0.3,72.57,112.1,9.78,33.26,155,2016-03-24T16:05:23.359429,2016-10-01T00:03:42.73714,True,163
December,2016-03-31,USD,13795.0,16361961.0,134785952.0,238188980.0,372974932.0,107541041.0,40677467.0,0.0,148218508.0,21853733792.0,224756424.0,240123973.0,23901799.0,7990818.0,476155.0,0.0,-18489935.0,-18489935.0,2.4846,137.17,0.66,0.0013,0.0021,0.0,0.03,5.0,131.82,8.58,18.05,156,2016-03-24T16:05:23.437554,2016-10-01T00:03:42.79964,True,164
December,2016-06-30,IDR,1.0,212086216907.0,1647837440968.0,586314895886.0,2234152336854.0,1028543766539.0,110093527959.0,0.0,1138637294498.0,5541165000.0,1095515042356.0,1285312226234.0,142710780429.0,58820233938.0,12117525030.0,0.0,7279631900.0,7279631900.0,324.345,55.0,1.04,0.0072,0.0147,0.01,0.05,-53.31,-232.09,-2.31,-4.24,157,2016-03-24T16:05:23.531304,2016-10-01T00:03:42.877765,True,165
December,2016-06-30,IDR,1.0,486887202327.0,2805046657146.0,6953074464604.0,9758121121751.0,2794112488016.0,2372701678694.0,0.0,5166814166710.0,10365854185.0,4591306955040.0,1574506221060.0,665058798662.0,256800801950.0,214885820271.0,0.0,-9966788524.0,-9966788524.0,28.7916,470.29,1.13,0.0294,0.0624,0.14,0.16,12.1,13.83,12.69,16.12,158,2016-03-24T16:05:23.609429,2016-10-01T00:03:42.940265,True,166
December,2016-06-30,IDR,1.0,277442709715.0,837886639431.0,525164447159.0,1363051086590.0,41546415133.0,13959714326.0,0.0,55506129459.0,5638246600.0,1307544957131.0,0.0,0.0,-87666310531.0,-30102059892.0,0.0,-422411494508.0,-422411494508.0,-9.1536,227.33,0.04,-0.0221,-0.023,0.0,0.0,0.0,55.41,17.27,78.43,159,2016-03-24T16:05:23.718804,2016-10-01T00:03:43.034015,True,167
December,2016-06-30,IDR,1.0,394796437000.0,814706695000.0,137373130000.0,952079825000.0,127270816000.0,42314119000.0,0.0,169584935000.0,16013181.0,782494890000.0,1063162472000.0,307519086000.0,152944367000.0,121146723000.0,0.0,-3497030000.0,-3497030000.0,266.1668,1.0,0.22,0.1697,0.2064,0.11,0.14,16.07,33.68,2.4,-51.31,160,2016-03-24T16:05:23.812554,2016-10-01T00:03:43.096515,True,168
December,2016-06-30,IDR,1.0,1589491065366.0,4905139939648.0,3628762679488.0,8533902619136.0,922756204713.0,14463363858.0,0.0,937219568571.0,48198111100.0,7596683050565.0,1704341925793.0,1115645457202.0,1020959130369.0,1223479894994.0,0.0,-63736478812.0,-63736478812.0,20.1738,147.66,0.12,0.1912,0.2147,0.72,0.6,-30.96,-58.83,-10.22,-311.08,161,2016-03-24T16:05:23.937554,2016-10-01T00:03:43.17464,True,169
December,2016-06-30,IDR,1.0,14449643170.0,1910396303530.0,163273322526.0,2073669626056.0,1640988601481.0,0.0,0.0,1640988601481.0,2250000000.0,432681024575.0,185457103855.0,65880390084.0,15973834831.0,14019135373.0,0.0,-328559778.0,-328559778.0,4.7175,194.66,3.79,0.0068,0.0324,0.08,0.09,12.15,-18.77,8.43,9.9,162,2016-03-24T16:05:24.015679,2016-10-01T00:03:43.252765,True,170
December,2016-06-30,IDR,1.0,33802702742.0,313534104586.0,7519944384351.0,7833478491937.0,6260355336.0,43742506000.0,0.0,50002861336.0,14184000000.0,7783475630601.0,4507237264.0,198666732116.0,198666732116.0,221677163123.0,0.0,171093099101.0,171093099101.0,14.8724,559.59,0.01,0.0377,0.038,49.18,44.08,79.54,10.78,4.2,95.39,163,2016-03-24T16:05:24.125054,2016-10-01T00:03:43.33089,True,171
December,2016-06-30,USD,14657.0,117776408.0,364490782.0,508123884.0,872614666.0,122846117.0,657169446.0,0.0,780015563.0,8276228732.0,92599103.0,418949769.0,93599956.0,64353610.0,-4819910.0,0.0,2377880.0,2377880.0,25.3266,149.51,8.42,-0.0074,-0.0694,-0.01,0.15,-3.0,226.16,-5.02,-6.99,164,2016-03-24T16:05:24.218804,2016-10-01T00:03:43.45589,True,172
December,2016-06-30,IDR,1.0,70781449094.0,182623461194.0,96634902896.0,279258364090.0,16770362572.0,18778585103.0,0.0,35548947675.0,331129952.0,243709416415.0,93419788420.0,23167653605.0,14535837583.0,12944567654.0,0.0,-14986838827.0,-14986838827.0,36.9717,778.31,0.15,0.0618,0.0708,0.14,0.16,-3.39,-50.98,6.28,1.38,165,2016-03-24T16:05:24.312554,2016-10-01T00:03:43.534015,True,173
December,2016-06-30,IDR,1.0,87589359.0,9797088000.0,8158333.0,9805246333.0,6308184000.0,3242302000.0,0.0,9550486000.0,250000000.0,254760333.0,240000000.0,81100000.0,5546333.0,4760333.0,0.0,-353300213753.0,-353300213753.0,15.5099,297.36,37.49,0.0005,0.0187,0.02,0.02,26.57,5.31,67.54,33.34,166,2016-03-24T16:05:24.437554,2016-10-01T00:03:43.58089,True,821
December,2016-06-30,IDR,1.0,3869169427.0,136366776191.0,135600343123.0,271967119314.0,79096447068.0,62954914395.0,0.0,142051361463.0,1857135500.0,129915757851.0,427370231788.0,47486670328.0,13410449813.0,10058879141.0,0.0,-5386529438.0,-5386529438.0,5.6421,79.88,1.09,0.0493,0.1032,0.02,0.03,2.45,-52.74,8.53,3.13,167,2016-03-24T16:05:24.515679,2016-10-01T00:03:43.659015,True,174
December,2016-06-30,IDR,14657.0,490234000000.0,2155333000000.0,5298945000000.0,7454278000000.0,2040814000000.0,3126862000000.0,0.0,5167676000000.0,2119700000.0,2286602000000.0,3300413000000.0,785775000000.0,156421000000.0,111866000000.0,0.0,-365720000000.0,-365720000000.0,4.2746,234.04,2.26,0.02,0.0652,0.03,0.05,-20.87,-615.26,10.84,13.57,168,2016-03-24T16:05:24.609429,2016-10-01T00:03:43.70589,True,175
December,2016-03-31,USD,14657.0,143234500.0,361121401.0,1217377218.0,1578498619.0,280846060.0,489690408.0,0.0,770536468.0,770552320.0,807962151.0,359263183.0,109014303.0,-1385962.0,-33734602.0,0.0,-28875816.0,-28875816.0,26.5674,15.0,0.95,-0.0285,-0.0557,-0.09,0.0,14.93,1561.67,27.27,45.47,169,2016-03-24T16:05:24.750054,2016-10-01T00:03:43.76839,True,176
December,2016-06-30,IDR,1.0,1767352103328.0,4344386190061.0,4670525026390.0,9014911216451.0,1198803132680.0,985050011169.0,0.0,2183853143849.0,1850000000.0,6831058072602.0,1686812400465.0,1298506604023.0,566287936797.0,534915278377.0,0.0,43949731526.0,43949731526.0,354.0834,3.0,0.32,0.0593,0.0783,0.32,0.34,10.48,19.17,10.18,7.87,170,2016-03-24T16:05:24.875054,2016-10-01T00:03:43.83089,True,178
December,2016-06-30,IDR,1.0,448935521000.0,1101563486000.0,317611626000.0,1419175112000.0,324807040000.0,135074029000.0,0.0,459881069000.0,1120000000.0,959294043000.0,984934933000.0,506541300000.0,118932750000.0,97752356000.0,0.0,-109279120000.0,-109279120000.0,148.9403,907.15,0.48,0.0918,0.1359,0.1,0.12,12.26,7.31,2.81,-0.42,171,2016-03-24T16:05:25.000054,2016-10-01T00:03:43.877765,True,179
December,2016-06-30,IDR,1.0,89357548454.0,353753879321.0,1338915106227.0,1692668985548.0,405545941517.0,435812422318.0,0.0,841358363835.0,4272964279.0,851310621713.0,513962409264.0,92619142626.0,-82804818480.0,-82190035255.0,0.0,34803548771.0,34803548771.0,-13.9352,182.02,0.99,-0.0647,-0.1287,-0.16,-0.16,24.33,-11.89,-6.54,3.77,172,2016-03-24T16:05:25.109429,2016-10-01T00:03:43.95589,True,180
December,2016-06-30,IDR,1.0,558508086847.0,1366168480268.0,595636857007.0,1961805337275.0,117693476848.0,70624590752.0,0.0,188218067600.0,1334333000.0,1773587269675.0,1241680173035.0,228465471838.0,14799967192.0,9049967192.0,0.0,-109922563305.0,-109922563305.0,-15.1985,1.0,0.11,0.0062,0.0068,0.01,0.01,-15.11,366.58,-7.01,-50.16,173,2016-03-24T16:05:25.229546,2016-10-01T00:03:44.034015,True,182
December,2016-06-30,IDR,1.0,15906388126.0,266063768829.0,112485101848.0,378548870677.0,83468856863.0,10292207296.0,0.0,93761064159.0,698775000.0,284787806518.0,400608456584.0,110341084342.0,47338265149.0,34718483963.0,0.0,-44886444679.0,-44886444679.0,146.3935,725.93,0.33,0.1223,0.1625,0.09,0.12,6.73,59.54,41.62,33.71,174,2016-03-24T16:05:25.323296,2016-10-01T00:03:44.11214,True,183
December,2016-03-31,IDR,1.0,935968000000.0,2079319000000.0,2328194000000.0,4407513000000.0,1448585000000.0,323742000000.0,0.0,1772327000000.0,7298500000.0,2635186000000.0,3775323000000.0,718810000000.0,507738000000.0,375364000000.0,0.0,-97778000000.0,-97778000000.0,51.4149,375.11,0.67,0.0852,0.1424,0.1,0.13,-0.38,30.54,-8.67,-34.22,175,2016-03-24T16:05:25.435601,2016-10-01T00:03:44.17464,True,184
December,2014-12-31,IDR,1.0,57013440346.0,4995044412536.0,9739876497201.0,14734920909737.0,5658517083195.0,1883589073484.0,0.0,7542106156679.0,43521913019.0,7192814753058.0,1087244404374.0,595777547858.0,-44543101396.0,-36075264964.0,0.0,-90289191103.0,-90289191103.0,10.8438,174.66,1.05,-0.0033,-0.0067,-0.03,-0.04,-102.54,148.96,16.36,27.72,176,2016-03-24T16:05:25.51275,2016-10-01T00:03:44.221515,True,185
December,2016-06-30,IDR,1.0,142309486327.0,542753201749.0,642078281444.0,1184831483193.0,363527880494.0,188009023971.0,0.0,551536904465.0,3350000000.0,633294578728.0,225479115233.0,127346330709.0,33679885158.0,32438241366.0,0.0,-4779205428.0,-4779205428.0,15.6709,204.91,0.87,0.0365,0.0683,0.14,0.15,-27.64,-30.65,-101.77,3.27,177,2016-03-24T16:05:25.622125,2016-10-01T00:03:44.29964,True,186
December,2016-06-30,IDR,1.0,8397582791000.0,11010303212000.0,6810403699000.0,17820706911000.0,1256522122000.0,829526553000.0,0.0,2.08605,5640032442.0,15734658236000.0,4783003796000.0,2183014283000.0,2025339038000.0,1447931478000.0,0.0,-872213592000.0,-872213592000.0,19.6905,2.0,0.0,0.1083,0.1227,0.3,0.42,9.41,-1506.22,15.83,55.77,178,2016-03-24T16:05:25.715875,2016-10-01T00:03:44.377765,True,187
December,2015-12-31,USD,14657.0,124028729.0,449472539.0,1411514768.0,1860987307.0,747636232.0,485027767.0,0.0,1232663999.0,49106783762.0,628323308.0,465145043.0,332818.0,-18759865.0,-40764313.0,0.0,-114494169.0,-114494169.0,-61.3962,103.48,1.96,-0.0438,-0.1298,-0.09,-0.04,-30.01,75.15,-26.64,-13.19,179,2016-03-24T16:05:25.809625,2016-10-01T00:03:44.440265,True,188
December,2016-06-30,IDR,1.0,693290147331.0,5339141212638.0,1121450458305.0,6460591670943.0,2475206371001.0,59046306018.0,0.0,2534252677019.0,2708640000.0,3926338993924.0,12670326925365.0,1523253400023.0,524398502166.0,388257265853.0,0.0,-12763173918.0,-12763173918.0,194.0287,1.0,0.65,0.0801,0.1318,0.03,0.04,10.47,13.99,8.54,1.53,180,2016-03-24T16:05:25.919,2016-10-01T00:03:44.534015,True,189
December,2016-06-30,IDR,1.0,90762512863.0,4294584469720.0,2118735400492.0,6413319870212.0,3058189564889.0,233101491508.0,0.0,3291291056397.0,2900000000.0,3122028813815.0,13950685876602.0,1104836545277.0,352791500831.0,164475671969.0,0.0,-129232360434.0,-129232360434.0,87.0785,1.0,1.05,0.0342,0.0702,0.01,0.03,91.62,12.66,13.52,19.19,181,2016-03-24T16:05:26.028375,2016-10-01T00:03:44.61214,True,190
December,2016-06-30,USD,14657.0,5513476.0,24985668.0,26294858.0,51280526.0,26364547.0,9701288.0,0.0,36065835.0,160817474.0,15214691.0,48471266.0,6044531.0,3769659.0,3327482.0,0.0,-2259106.0,-2259106.0,150.8711,1.0,2.37,0.0865,0.2916,0.07,0.08,5.96,-114.52,6.71,-3.57,182,2016-03-24T16:05:26.122125,2016-10-01T00:03:44.67464,True,191
December,2016-06-30,USD,14657.0,36786953.0,57999675.0,178605408.0,236605082.0,9598985.0,68595946.0,0.0,78194931.0,1100000000.0,158410151.0,30376816.0,12677216.0,6140872.0,5009185.0,0.0,-63167090.0,-63167090.0,8.7574,2.0,0.49,0.0282,0.0422,0.16,0.2,-41.48,-926.38,62.27,77.76,183,2016-03-24T16:05:26.2315,2016-10-01T00:03:44.752765,True,192
December,2016-06-30,USD,14657.0,2928041.0,30107478.0,34900438.0,65007916.0,44212956.0,15907.0,0.0,44228863.0,2015208720.0,20779054.0,29004989.0,-212304.0,-2688490.0,-2730757.0,0.0,16182195.0,16182195.0,56.5144,112.88,2.13,-0.056,-0.1752,-0.09,-0.09,-22.01,141.66,-37.52,-44.51,184,2016-03-24T16:05:26.32525,2016-10-01T00:03:44.846515,True,193
December,2016-06-30,IDR,1.0,18274951493.0,308664143514.0,1070093674793.0,1378757818307.0,803368460152.0,406155661293.0,0.0,1209524121445.0,968297000.0,169233696862.0,248132423423.0,3748971607.0,-35071311489.0,-132718627745.0,0.0,-5453785577.0,-5453785577.0,-43.5475,56.48,7.15,-0.1283,-1.0456,-0.53,-0.14,20.49,-210.96,-5.61,9.11,185,2016-03-24T16:05:26.434625,2016-10-01T00:03:44.92464,True,194
December,2016-03-31,IDR,1.0,3311867000000.0,10151586000000.0,48692734000000.0,58844320000000.0,15748214000000.0,29004471000000.0,0.0,44752685000000.0,8541381670.0,14091635000000.0,22876182000000.0,3139277000000.0,3139277000000.0,-25338000000.0,0.0,-1255059000000.0,-1255059000000.0,79.2673,1.0,3.18,-0.0004,-0.0018,0.0,0.14,2.41,547.87,-14.11,-21.29,186,2016-03-24T16:05:26.544,2016-10-01T00:03:45.002765,True,195
December,2016-06-30,IDR,1.0,566085788000.0,943903627000.0,1256754527000.0,2200658154000.0,489671778000.0,505406723000.0,0.0,995078501000.0,1995138579.0,1205579653000.0,3283878241000.0,1996919241000.0,81449414000.0,72270123000.0,0.0,-95271316000.0,-95271316000.0,43.2983,530.51,0.83,0.0438,0.0799,0.02,0.02,9.81,38.24,3.8,14.67,187,2016-03-24T16:05:26.661187,2016-10-01T00:03:45.065265,True,196
December,2016-06-30,IDR,1.0,49407359083.0,1756607856822.0,3891509776958.0,5648117633780.0,2065476375524.0,2447773783965.0,0.0,4513250159489.0,2477888787.0,1134867474291.0,3643531760961.0,311810755863.0,-567755167349.0,-428966129933.0,0.0,-552530778992.0,-552530778992.0,326.1257,1.0,3.98,-0.1013,-0.504,-0.12,-0.16,21.41,134.14,28.6,16.32,188,2016-03-24T16:05:26.779351,2016-10-01T00:03:45.14339,True,197
December,2016-06-30,IDR,1.0,15120225.0,183765405.0,38347933.0,222113338.0,145941972.0,19558312.0,0.0,165500284.0,480000000.0,56613054.0,736641895.0,19757379.0,8530221.0,5193713.0,0.0,-7286310.0,-7286310.0,663.1436,2.0,2.92,0.0312,0.1223,0.01,0.01,-8.43,76.28,13.44,8.47,189,2016-03-24T16:05:26.885796,2016-10-01T00:03:45.221515,True,198
December,2016-06-30,IDR,1.0,5367088258.0,319853678518.0,255726843599.0,575580522116.0,105250243280.0,49021377647.0,0.0,154271620927.0,2721000000.0,421308901189.0,193545934000.0,165491353835.0,145134255685.0,65893974282.0,0.0,-275592425948.0,-275592425948.0,177.2248,243.68,0.37,0.1526,0.2085,0.34,0.75,94.89,101.5,38.59,-11.42,190,2016-03-24T16:05:26.990289,2016-10-01T00:03:45.284015,True,199
December,2016-06-30,IDR,1.0,45513928161.0,252492536357.0,33741997203.0,286234533560.0,144532432836.0,11842912650.0,0.0,156375345486.0,465224000.0,129859188074.0,294182927590.0,50688401547.0,-957822023.0,-2351450279.0,0.0,-180236564.0,-180236564.0,-42.672,266.89,1.2,-0.011,-0.0241,-0.01,0.0,-12.97,101.1,-5.18,-3.84,191,2016-03-24T16:05:27.085992,2016-10-01T00:03:45.36214,True,200
December,2016-06-30,USD,14657.0,3797000.0,92667000.0,131844000.0,224511000.0,123562000.0,14725000.0,0.0,138287000.0,5566414000.0,86224000.0,333888000.0,2816000.0,-6565000.0,-6584000.0,0.0,-830000.0,-830000.0,3.9331,228.0,1.6,-0.0391,-0.1018,-0.02,-0.02,-2.66,984.57,-10.75,-30.55,192,2016-03-24T16:05:27.172906,2016-10-01T00:03:45.440265,True,201
December,2016-06-30,IDR,1.0,577157412293.0,1851627474580.0,17704971400255.0,19556598874835.0,4802141953862.0,8288582276625.0,0.0,13090724230487.0,102796000000.0,6465874644348.0,2274170405816.0,0.0,-783094912407.0,-1341155644891.0,0.0,-730471883622.0,-730471883622.0,-12.9916,60.13,2.02,-0.0914,-0.2766,-0.59,-0.34,4.01,-22.13,10.89,20.82,193,2016-03-24T16:05:27.266656,2016-10-01T00:03:45.51839,True,202
December,2016-03-31,IDR,1.0,70777801118.0,479481390846.0,864514172032.0,1343995562878.0,218303839777.0,26475356354.0,0.0,244779196131.0,10011027550.0,1099216366747.0,93049335833.0,28154013291.0,9100193051.0,7589545751.0,0.0,14760602233.0,14760602233.0,-0.0103,109.53,0.22,0.0075,0.0092,0.08,0.1,-5.75,18815.12,-4.76,-27.43,194,2016-03-24T16:05:27.360406,2016-10-01T00:03:45.596515,True,203
December,2016-06-30,IDR,1.0,207760929751.0,356932031573.0,772309460648.0,1129241492221.0,294846110402.0,45692043318.0,0.0,340538153720.0,8200000000.0,788703338501.0,65727367718.0,-14894111311.0,-94781958806.0,-69094793588.0,0.0,-27540524054.0,-27540524054.0,7.6439,101.9,0.43,-0.0816,-0.1168,-1.05,-1.44,-17.76,300.06,-8.74,-46.63,195,2016-03-24T16:05:27.454156,2016-10-01T00:03:45.690265,True,204
December,2016-03-31,USD,14657.0,9365063.0,56118944.0,57239817.0,113358761.0,57128009.0,2123999.0,0.0,59252008.0,410000000.0,54106753.0,111383931.0,9607206.0,-1377384.0,-1130568.0,0.0,-1077271.0,-1077271.0,81.5139,1.0,1.1,-0.0133,-0.0279,-0.01,-0.01,-3.02,132.71,-3.51,-4.12,196,2016-03-24T16:05:27.563531,2016-10-01T00:03:45.752765,True,205
December,2016-06-30,IDR,1.0,7184706596.0,362313756714.0,94470829611.0,456784586325.0,248846075783.0,28141247917.0,0.0,276987323700.0,320000000.0,179797262625.0,593964830664.0,131586754483.0,42867229375.0,14467766082.0,0.0,-7763899515.0,-7763899515.0,81.3156,1.0,1.54,0.0422,0.1073,0.02,0.07,-4.08,-33.65,25.54,-11.49,197,2016-03-24T16:05:27.688531,2016-10-01T00:03:45.846515,True,206
December,2016-06-30,USD,13795.0,43421601.0,195737111.0,173930184.0,369667295.0,70048270.0,52107413.0,0.0,122155683.0,5882353000.0,247511612.0,353186003.0,110247701.0,1671981.0,2016767.0,0.0,-782119.0,-782119.0,16.1323,558.49,0.49,0.0055,0.0081,0.01,0.0,9.01,-41.37,9.32,30.0,198,2016-03-24T16:05:27.782281,2016-10-01T00:03:45.92464,True,207
December,2016-06-30,IDR,1.0,2933139000000.0,38534710000000.0,20806679000000.0,59341389000000.0,22230920000000.0,1347794000000.0,0.0,23578714000000.0,1924088000.0,35762675000000.0,51011835000000.0,10577920000000.0,6581037000000.0,4114147000000.0,0.0,-1130999000000.0,-1130999000000.0,2.0,18.0,0.66,0.0924,0.1534,0.08,0.13,10.11,-12.12,6.59,8.62,199,2016-03-24T16:05:27.891656,2016-10-01T00:03:46.002765,True,208
